,location,continent,date,latitude,longitude,temperature_2m,surface_pressure,dewpoint_temperature_2m,v_wind_10m,u_wind_10m,evaporation,runoff,total_percipitation,snowfall,snow_depth,soil_temperature_level_1,soil_type
1008,"Miami, FL",North America,2023-10-01,25.75,279.75,298.1324,101316.05,294.30893,-1.7109776,-0.9566622,-0.00015462842,2.0742416e-05,8.845329e-05,0.0,0.0,299.73834,1
1009,"Cairo, Egypt",Africa,2023-10-01,30.0,31.25,303.77106,100265.05,288.389,-2.7666416,0.6097441,-6.019976e-05,0.0,1.1920929e-07,0.0,0.0,306.91022,2
1010,"Los Angeles, CA",North America,2023-10-01,34.0,241.75,288.40192,99658.05,282.71713,-0.36771584,-0.5191622,-5.318783e-06,7.1525574e-07,8.940697e-06,0.0,0.0,289.48053,2
1011,"Tokyo, Japan",Asia,2023-10-01,35.75,139.75,291.31598,101570.05,286.65073,-1.5586338,1.160037,-5.4343604e-05,6.7949295e-06,7.748604e-05,0.0,0.0,293.127,3
1012,"Seoul, South Korea",Asia,2023-10-01,37.5,127.0,287.00934,100848.05,283.94565,-0.24808693,0.4525175,-1.0757707e-05,4.1007996e-05,7.867813e-06,0.0,0.0,287.8692,4
1013,"Beijing, China",Asia,2023-10-01,40.0,116.5,288.4566,101597.05,280.09604,0.55953026,0.45984173,-5.1697716e-06,1.1920929e-07,2.2649765e-06,0.0,0.0,289.60553,2
1014,"New York City, NY",North America,2023-10-01,40.75,286.0,285.82184,101269.05,283.81088,-0.6479893,0.69616985,-4.736986e-05,1.6212463e-05,0.0001348257,0.0,0.0,285.47272,3
1015,"Chicago, IL",North America,2023-10-01,42.0,272.25,283.9195,99245.05,280.74057,0.16890526,1.1585722,-5.8813952e-05,1.1920929e-06,0.00010228157,1.937151e-07,0.0,285.45123,2
1016,"Paris, France",Europe,2023-10-01,48.75,2.25,291.273,99820.05,284.09213,2.3383389,1.4139433,-0.00016614702,2.3841858e-06,0.00014293194,0.0,0.0,289.60358,3
1017,"Vancouver, Canada",North America,2023-10-01,49.25,237.0,281.73395,99066.05,280.32065,-0.7480869,-0.99865437,-1.6971491e-05,6.6161156e-05,0.000197649,0.0,1.335144e-05,281.47272,2
1018,"London, United Kingdom",Europe,2023-10-01,51.5,0.0,289.0816,100080.05,284.58823,1.6879482,1.4115019,-0.00014865305,5.1259995e-06,6.4611435e-05,0.0,0.0,288.1192,3
1019,"Moscow, Russia",Europe,2023-10-01,55.75,37.5,279.9156,98848.05,276.24643,0.9052334,1.9085722,-7.596519e-05,7.2717667e-06,0.00014531612,1.9982457e-05,0.00085926056,280.06842,2
1020,"Amundsen-Scott, Antarctica",Antarctica,2023-11-01,-90.0,0.0,238.1396,68371.79,234.39868,2.2098818,2.3545923,4.2584725e-07,0.0,1.5497208e-05,1.5556812e-05,10.0,227.97144,1
1021,"McMurdo Station, Antarctica",Antarctica,2023-11-01,-77.75,166.75,260.51263,96906.79,255.14868,-0.30476665,-1.1624975,-1.0437099e-05,0.0,5.00679e-06,5.00679e-06,4.0214233,258.0691,0
1022,"Melbourne, Australia",Oceania,2023-11-01,-37.75,145.0,287.78412,100774.79,284.4983,2.361249,-0.2542944,-3.2490818e-05,8.34465e-07,3.0755997e-05,0.0,0.0,289.4226,4
1023,"Buenos Aires, Argentina",South America,2023-11-01,-34.5,301.5,292.956,101220.79,286.0725,-0.3482237,-1.1366186,-0.00025493535,4.7683716e-07,8.416176e-05,0.0,0.0,294.05542,0
1024,"Cape Town, South Africa",Africa,2023-11-01,-34.0,18.5,293.26068,101070.79,286.94946,2.3881044,1.8667994,-0.000113925664,0.0,1.7881393e-06,0.0,0.0,293.96167,1
1025,"Sydney, Australia",Oceania,2023-11-01,-33.75,151.25,292.70404,101226.79,289.26782,-0.8111143,-2.026267,-7.345411e-05,4.7683716e-07,0.00012397766,0.0,0.0,293.31128,0
1026,"Perth, Australia",Oceania,2023-11-01,-32.0,115.75,295.7724,101163.79,286.98853,3.3138857,-0.4002905,-8.8653294e-05,1.0728836e-06,5.722046e-06,0.0,0.0,298.03784,1
1027,"Sao Paulo, Brazil",South America,2023-11-01,-23.5,313.25,296.81732,92567.79,290.72876,-1.5259581,-0.032614708,-0.00029747817,8.34465e-06,5.8054924e-05,0.0,0.0,296.14917,4
1028,"Rio de Janeiro, Brazil",South America,2023-11-01,-23.0,316.75,300.34076,101031.79,294.17603,-0.078204155,-0.4022436,-0.0002324197,1.1920929e-06,9.727478e-05,0.0,0.0,300.92065,3
1029,"Lima, Peru",South America,2023-11-01,-12.0,283.0,291.65717,96596.79,288.32056,2.3392763,0.11191654,-2.3177592e-05,8.34465e-07,2.0980835e-05,0.0,0.0,294.0027,4
1030,"Nairobi, Kenya",Africa,2023-11-01,-1.25,36.75,296.2646,82814.79,287.76196,-0.4336729,-3.9300756,-0.00029114517,3.4809113e-05,0.0004515648,0.0,0.0,297.09253,2
1031,"Singapore, Singapore",Asia,2023-11-01,1.25,103.75,301.02435,100900.79,297.70337,-1.7608213,0.18222904,-0.00014795992,0.0,0.0003489256,0.0,0.0,303.3601,0
1032,"Bogota, Colombia",South America,2023-11-01,4.75,286.0,284.1845,73425.79,283.29126,0.45548725,-1.370017,-2.3371307e-05,7.1525574e-06,3.9577484e-05,0.0,0.0,285.09448,2
1033,"Lagos, Nigeria",Africa,2023-11-01,6.5,3.5,302.4013,100935.79,298.52368,1.7738466,0.8628931,-0.0003403339,7.045269e-05,0.0006148815,0.0,0.0,302.7566,1
